number,title,state,labels,createdAt,closedAt,body_excerpt
2386,最新版本v0.1.126无法使用,OPEN,,2026-05-12T01:59:33Z,,更新到v0.1.126后 ccs 无法使用 提示：供应商拒绝了此请求。部分供应商会校验客户端身份，检查失败但实际使用可能正常。 咋回事 
2385,现在反重力还封号吗？,OPEN,,2026-05-12T01:29:54Z,,我看还在更新反重力相关的功能
2383,模型映射计费有问题,OPEN,,2026-05-12T00:36:01Z,,我觉得这应该是一个bug，因为我发现， 如果有用户使用gpt-5.3-codex计费是输入1.75，输出是14， 但是如果用户使用codex-auto-review他被映射到了gpt-5.3-codex后，价格就成了输入5，输出30了， 或者用户使用这种gpt-5-codex不存在的模型，也是会被映射到gpt-5.3-codex，价格就成了输入1.25，输出10 我理解的是如果没有特殊计费统计，这个计费价格应该按照最终映射后的模型计费才对。 有人肯定会说有渠道定价里面可以映射模型啊，但是用户自定义的各种各样的模型，我要一个一个看一下他们用的是什么东西，然后映射一下价格吗，我觉得最好的形式就是没有特殊设置，直接按照映射后的模型计费就行，这样还统一，也方便我们这样的使用者不去更改
2382,重新授权-支持更多方式,OPEN,,2026-05-11T21:23:14Z,,"希望重新授权中支持更多方式 而非单回调链接授权方式  <img width=""641"" height=""1111"" alt=""Image"" src=""https://github.com/user-attachments/assets/a6059b76-c5e4-4a13-9969-e765c2558c18"" />"
2381,最新版能更新不？,OPEN,,2026-05-11T17:50:34Z,,最新版能更新不？我怕更新直接出问题
2380,Fix Claude Code thinking signature fallback for API key cross-channel routes,OPEN,,2026-05-11T17:13:46Z,,"## Problem  Claude Code conversations can carry historical Anthropic `thinking` blocks with `signature` values that are only valid for the channel that produced them. In nested proxy deployments, a customer may route Claude Code traffic through new-api to sub2api/onehub, while the upstream account may be an AWS/new-api/API-key style channel. If a later request is routed to a different upstream, the upstream can reject the historical block with errors like:  `messages.N.content.0: Invalid signatu"
2379,平台限制问题,OPEN,,2026-05-11T16:56:41Z,,平台限制导致Anthropic平台的秘钥不能在codex里使用。而一个订阅又没办法管理两个平台，所以想让用户畅用code，那就得分配两个订阅管理两个平台。能不能解除这个限制，允许跨平台去请求。
2377,bug：最新版本v0.1.126使用OpenAI转发在claude code里完全无法使用（非常严重）,OPEN,,2026-05-11T16:11:22Z,,发一段消息  ⏺ Great — thanks. I’m ready.    What would you like me to do next?  ✻ Baked for 17s   回复上面后，就没了。丢失了上下文信息。完全没法用
2376,BUG：No tool call found for function call output with call_id xxx,OPEN,,2026-05-11T14:49:57Z,,"升级到最新版(v0.1.125)之后，一致报错： API Error: 400 {""error"":{""message"":""No tool call found for function call output with call_id       call_uhOlc3hDY2sMzkWy8RY6CNsS."",""type"":""invalid_request_error""},""type"":""error""}  我不确定具体是哪个版本开始出现的，我差不多1个月没有更新了，今天更新了下导致中转站完全无法使用了，请作者能否解决下这个bug  <img width=""784"" height=""66"" alt=""Image"" src=""https://github.com/user-attachments/assets/a6a52e98-7cb0-4e97-921c-7cf6f4dedb01"" />"
2372,订阅时间能否精确到小时，比如几天几个小时，现在只能到天，不方便管理,OPEN,,2026-05-11T13:29:02Z,,如题，有些客户就是需要用几个小时，他们很在乎时间，所以精确到小时，可以设置小时卡，方便客户使用
2369,让 messages 的 cache_control 改写改为可选（默认关闭）/ Make message cache_control rewriting opt-in (default off),CLOSED,,2026-05-11T10:17:23Z,2026-05-11T13:27:53Z,## 问题  Sub2API 对原生 `/v1/messages` 端点的请求，会无条件地剥离客户端在 `messages[*].content[*].cache_control` 上设置的断点，再注入自己的断点。对那些**自身已经有明确缓存策略**的客户端，这会破坏 prompt cache 的命中率。  ## 代码位置  三处调用都执行了 `stripMessageCacheControl` → `addMessageCacheBreakpoints`：  - `backend/internal/service/gateway_service.go:1259-1260` - `backend/internal/service/gateway_service.go:4424-4425` - `backend/internal/service/gateway_service.go:8822-8823`  工具函数定义在 `backend/internal/service/gateway_messages_cache.go`。当前策略：清空客户端所有断点 → 在最后一条消息的最后一个 c
2367,请教fast模式怎么开啊,OPEN,,2026-05-11T09:47:39Z,,请教fast模式怎么开啊
2366,There's an issue with the selected model,OPEN,,2026-05-11T09:23:21Z,,"<img width=""2094"" height=""346"" alt=""Image"" src=""https://github.com/user-attachments/assets/373049ad-0f82-4cb6-90b7-ccc9e6931d68"" />  这种要怎么处理，claude code 使用 gpt  plus 的 gpt5.5"
2365,账号管理  名称重复问题,OPEN,,2026-05-11T09:20:09Z,,账号管理页面  如果多次导入相同的账号，能不能自动过滤掉相同的只保留一个呢
2364,部分api请求未被统计,OPEN,,2026-05-11T09:20:04Z,,"对于自定义的api方式的内容，在使用过程中没有统计，比如我这个转接cpa的渠道，我实际调用了里面的模型，但是没有统计信息。  <img width=""3129"" height=""407"" alt=""Image"" src=""https://github.com/user-attachments/assets/339780bc-3ab6-4579-b928-32a750424353"" />  <img width=""3265"" height=""1816"" alt=""Image"" src=""https://github.com/user-attachments/assets/c273af4b-0368-4e0b-9b5f-1f393e2e49f9"" />"
2363,BUG: 渠道定价中的缓存读取定价未生效，经过计算还是默认值计费的,OPEN,,2026-05-11T09:14:38Z,,道定价中的缓存定价未生效，经过计算还是默认值计费的 v0.1.125 账号平台/类型 为 OpenAI Key
2362,openai_403_temp_unschedulable 这个错误是为什么，下午突然有问题,OPEN,,2026-05-11T09:04:47Z,,我直接用codex 可以，账号登录。 api不行。
2360,反重力返回问题 此版本的Antigravity已不再受支持。 请升级以获取最新功能。,CLOSED,,2026-05-11T04:26:40Z,2026-05-13T01:31:40Z,"**v0.1.125版本** 反重力pro账号返回此版本不支持  <img width=""875"" height=""754"" alt=""Image"" src=""https://github.com/user-attachments/assets/13b9fbc6-f357-429f-9b50-57883e572e5c"" /> 反重力free账号返回正常  <!-- Failed to upload ""44145c9b-0887-4ed8-8bb6-fde06e1de1b0.png"" -->"
2359,codex 每日速率限制不动,OPEN,,2026-05-11T04:11:01Z,,"<img width=""348"" height=""387"" alt=""Image"" src=""https://github.com/user-attachments/assets/ef5409c2-490d-4560-a9bd-145f0a0d45c9"" /> 明明 api_key 今天有用，但是速率限制条好像没动。 是因为开了简单模式吗？"
2358,调用生图模型请求格式不对,OPEN,,2026-05-11T04:07:26Z,,"上游返回400呢，我记得前几个版本是正常的，我还生成过呢，升级到这个版本就不行了  <img width=""1238"" height=""622"" alt=""Image"" src=""https://github.com/user-attachments/assets/2bce3090-6c36-4e67-96ba-327c3cf386bb"" /> "
2357,有大佬解释一下关于 渠道订阅 功能的情况吗,OPEN,,2026-05-11T03:54:24Z,,我在 渠道管理 的 渠道监控、渠道订阅设置了上游。如何使用它呢，是自动切换的还是怎么设置使用，在分组里看不到这个渠道
2355,[小Bug] 部分请求出现首token计时为空的情况,CLOSED,,2026-05-11T03:25:41Z,2026-05-11T16:58:44Z,"问题描述：部分请求出现首token计时为空的情况 接口： https://XXX/api/v1/admin/usage?page=2&page_size=20&exact_total=false&start_date=2026-05-10&end_date=2026-05-11&sort_by=created_at&sort_order=desc&timezone=Etc%2FGMT-8  <img width=""950"" height=""1175"" alt=""Image"" src=""https://github.com/user-attachments/assets/5b8bfad3-6749-4f69-8634-c8b3ab3ef5d7"" />"
2354,"[Bug]claude code 使用 cc-switch，连接sub2api,使用GPT5.5，上下文连不上",OPEN,,2026-05-11T03:17:35Z,,升级sub2api到v0.1.125后， 使用claude code cli，调用sub2api的时候，记不住上下文，每一次对话都是一个新的会话。 单独使用sub2api下游的cpa，功能使用正常
2352,gpt-5.5 1M上下文 Bug,CLOSED,,2026-05-11T02:45:35Z,2026-05-11T05:34:57Z,"1. 系统设置中 设置了context 1M 处理方式为透穿 不处理 2. config.toml中设置了 model_context_window = 1000000 model_auto_compact_token_limit = 665000 3. 新开窗口，设置gpt-5.4模型，发送hello,执行/status， 输出97% left (38.1K used / 950K) 4. 设置模型为gpt-5.5 xhigh, /status输出100% left (0 used / 1M)，发送hello,再次执行/status, 输出89% left (39.5K used / 258K)"
2351,OpenCode 的 go 订阅计划可以代理出来吗？,OPEN,,2026-05-11T02:11:49Z,,OpenCode 的 go 订阅计划可以代理出来吗？
2350,希望支持分布式集群部署，单机抗压困难,OPEN,,2026-05-11T02:00:08Z,,分布式部署的主要阻碍：    1. 配置和首次安装是本地文件语义      backend/internal/setup/setup.go:40 使用 DATA_DIR//app/data 下的 config.yaml 和 .installed。多实例时不要让每个实例各自 auto setup。尤其 JWT_SECRET 为空会自动生成随机值，导致实例间登录 token 不互认。      处理：统一挂载同一份配置，或全部通过一致环境变量注入；必须固定 JWT_SECRET、TOTP_ENCRYPTION_KEY 等密钥。   2. 部分 OAuth 授权临时会话是进程内存      Claude/OpenAI/Gemini/Antigravity 的 SessionStore 都是 map + mutex 内存存储，例如 backend/internal/pkg/openai/oauth.go:52、backend/internal/pkg/oauth/oauth.go:47。授权开始打到 A 实例，回调/换码打到 B 实例会找不到      session。      处理：负载均
2348,新建API key 无法使用，账号管理中的测试是能通过的,OPEN,,2026-05-10T17:35:57Z,,"本人用windows docker 桌面版 部署了sub2api, 并且登录了gpt-plus 账号，账号测试gpt-5.4没问题，但是配置apikey 到cherrystudio 上 却连接失败，是什么原因， api 地址填的是http://127.0.0.1:8080   "
2347,Render部署无法完成install,OPEN,,2026-05-10T17:12:54Z,,"<img width=""922"" height=""1033"" alt=""Image"" src=""https://github.com/user-attachments/assets/b94ede7a-0975-45a1-a3c1-34b4e3bfd1f1"" />"
2345,能否增加订阅结余机制，比如可以结余1天或2天,OPEN,,2026-05-10T15:53:59Z,,RT
2343,OpenAI OAuth account plan_type remains Plus after usage_limit_reached reports free,CLOSED,,2026-05-10T14:54:29Z,2026-05-11T14:28:14Z,"### Summary OpenAI OAuth accounts can still be shown as `Plus` in the admin account list even after the upstream OpenAI response reports `plan_type: ""free""` in a `usage_limit_reached` 429 response.  This makes the displayed account plan stale/misleading: the account is handled by OpenAI as a Free account, while Sub2API still displays the cached `credentials.plan_type` as Plus.  ### Environment - Repository: `Wei-Shaw/sub2api` - Observed on commit: `dbc8ae6` - Deployment: Docker image built from "
2342,功能建议：支持“审核通过内容”的哈希缓存，减少重复调用 omni-moderation-latest,OPEN,,2026-05-10T12:46:08Z,,在实际使用中，很多用户会反复发送完全相同的安全内容，例如：  你好 hello 继续 继续生成 谢谢 ok 或者 AI Agent / 自动化工具持续发送相同 Prompt。  即使这些内容已经：  审核通过过上千次 完全安全 没有任何风险  系统目前依然会：  重复调用 omni-moderation-latest 重复消耗 moderation 配额 增加请求延迟  建议增加：  “审核通过内容”哈希缓存机制
2337,Bug: Anthropic→OpenAI 格式转换时 multi-turn tool_call ID 映射错误导致 400,OPEN,,2026-05-10T06:34:54Z,,"## 问题描述  当 group 的 platform 设置为 `openai`，且用户通过 `/v1/messages`（Anthropic 格式）发送**包含多轮工具调用**的请求时，sub2api 在将 Anthropic 格式转换为 OpenAI 格式时，`tool_call_id` 映射出错，导致上游返回 400 错误。  ## 错误信息  ``` upstream error: 400 No tool call found for function call output with call_id call_xxxxxx. ```  日志关键字段： ```json {   ""path"": ""/v1/messages"",   ""platform"": ""openai"",   ""model"": ""claude-sonnet-4-6"",   ""error"": ""upstream error: 400 No tool call found for function call output with call_id call_xxx."" } ```  ## 复现路径  1. 创建一个 "
2336,个人意见-什么时候可以设置 模型的输入、输出、缓存价格？,OPEN,,2026-05-10T06:23:51Z,,个人意见-什么时候可以自定义设置模型的：输入、输出、缓存价格
2334,兑换码生成后全部复制报错,OPEN,,2026-05-10T04:26:06Z,,"<!-- Failed to upload ""image.png"" --> 复制失败"
2332,Bug: Anthropic streaming message_delta usage 被重复记录导致 input_tokens=0 的冗余计费,OPEN,,2026-05-10T03:47:55Z,,## 问题描述  在使用 Anthropic Claude 模型（主要是 claude-opus-4-6）通过 `/v1/messages` 端点进行 streaming 请求时，sub2api 会将 `message_delta` 事件中的 usage 信息作为独立记录写入 `usage_logs` 表，导致产生大量 `input_tokens=0` 但 `output_tokens>0` 的重复计费记录。  ## 环境信息  - Sub2API 版本：v0.1.125 - 部署方式：systemd 二进制部署 - 数据库：PostgreSQL 16  ## 复现条件  1. 使用 Anthropic Claude 模型（claude-opus-4-6、claude-opus-4-7、claude-haiku-4-5 等） 2. 通过 `/v1/messages` 端点发起 streaming 请求（stream=true） 3. 客户端为 claude-cli（Claude Code）  ## 数据分析  在我的实例中：  | 指标 | 数值 | |------|------| |
2330,这个支持deepseek或火山大模型的api吗？怎么配置的，我需要一份部署好之后网页中使用方法的教程,OPEN,,2026-05-10T03:04:45Z,,"这个支持deepseek或火山大模型的api吗？我需要一份部署好之后网页中使用方法的教程。 我在账号管理、用户管理都做了配置，codex的配置也配置过使用sub2api的apikey和本地baseurl，但是在codex的chatbox中对话时一直提示重连，具体信息如下： Reconnecting... 1/5 Reconnecting... 2/5 Reconnecting... 3/5 Reconnecting... 4/5 Reconnecting... 5/5 unexpected status 502 Bad Gateway: Upstream request failed, url: http://localhost:8080/responses, request id: bf99bc10-bdb6-46ce-950b-8bd68dfa566a"
2329,使用存储日益增长，希望能加上清除无用存储功能,OPEN,,2026-05-10T00:42:30Z,,目前30gb的存储，每天按照1%的占比增加存储占用，如果各位开发大大有时间可以考虑增加一个历史文件清除功能，可以安全释放存储空间
2328,模型广场功能,OPEN,,2026-05-10T00:40:52Z,,希望各位开发大大考虑增加一个模型广场功能， 可以加上倍率供用户直接看到价格，对用户很有利
2322,哪位朋友能解释一下：渠道管理，是干嘛的？,OPEN,,2026-05-09T12:47:40Z,,"<img width=""265"" height=""216"" alt=""Image"" src=""https://github.com/user-attachments/assets/0cfb0efc-43c1-4d90-8209-ce4826541fad"" />  渠道管理：应用场景是什么？"
2321,版本：v0.1.112 ， gpt5.4分组，增加2个账号，客户端报502,OPEN,,2026-05-09T10:55:10Z,,"原本一切正常，gpt5.4分组中只有一个账号，今天限流了，客户端在报502了，后面新增另外一个账号，新增账号可以单独测试通过；配置完后。还是报502，服务用的是docker，也重启了。求解。  <img width=""713"" height=""252"" alt=""Image"" src=""https://github.com/user-attachments/assets/e4ed3fe0-1ed4-426f-b20f-751460cbda80"" />"
2320,Claude上游报错,OPEN,,2026-05-09T09:52:54Z,,"Claude版本2.1.137 Model:Opus4.7 -1M 报错响应详情：  ``` {   ""error"": {     ""message"": ""messages.1.content.0: Invalid `signature` in `thinking` block"",     ""type"": ""invalid_request_error""   },   ""request_id"": ""req_011CarmmJK78p5Exf1q8E3rS"",   ""type"": ""error"" } ```"
2318,openai账号只能接入gpt模型吗,OPEN,,2026-05-09T07:58:47Z,,"之前的版本可以接入其他模型呢 升级之后只能接入gpt模型了。 其他模型会报错如下 Account test error: API returned 500: {""error"":{""message"":""not implemented ..."",""type"":""rix_api_error"",""code"":""convert_request_failed""}}"
2317,监控页面tps 建议拆分为输入tps和输出tps,OPEN,,2026-05-09T06:20:28Z,,能更好展示prefill和decode的速度
2315,This version of Antigravity is no longer supported. Please upgrade to receive the latest features.,OPEN,,2026-05-09T05:53:12Z,,1 ## Description    2                                                                                                                                                                                            3 All requests routed through the **Antigravity** platform channel return the following error:                                                                                          rt    4    5 > This version of Antigravity is no longer supported. Please upgrade to receive the latest fea
2313,增加 订阅额度使用完后自动切换密钥分组功能,OPEN,,2026-05-09T05:26:37Z,,当订阅额度使用完成后，自动根据设置切换到余额模式的指定分组功能
2312,关于邀请返利：可以考虑做个二级分销就好了。,OPEN,,2026-05-09T05:25:54Z,,关于邀请返利：可以考虑做个二级分销就好了。 纯互联网的邀请返利还是有些限制，可以做一个二级分销。设置分销返利比例。  另外，可以考虑支持Antigravity，Krio、Windsurf。
2311,增加 kiro 的支持,OPEN,,2026-05-09T03:30:50Z,,增加 kiro 的支持
2310,[Bug] OAuth 图片生成（非流式）因绑定客户端 context 导致超时 context canceled,OPEN,,2026-05-09T02:54:27Z,,"Title: [Bug] OAuth 图片生成（非流式）因绑定客户端 context 导致超时 context canceled  Description:  ## 问题描述  通过 `/v1/images/generations` 调用 gpt-image-2 生成图片时，复杂 prompt + high quality 的请求在 ~30-80 秒后返回 502，日志报 `context canceled`。low/medium quality 偶尔能成功（因为生成时间短）。  ## 日志  ``` openai.images.forward_failed   path: /v1/images/generations   model: gpt-image-2   account_type: oauth   latency_ms: 30919   error: ""context canceled""   status_code: 502 ```  ## 已排除  - Caddy 反代超时：已设 `response_header_timeout 300s` - `.env` 中 `GATE"
2309,codex gpt 5.5 上下文大小错误,CLOSED,,2026-05-09T02:39:15Z,2026-05-09T04:46:18Z,无输入时，上下文长度是1M： ``` /status  │  Token usage:          0 total  (0 input + 0 output)                       │ │  Context window:       100% left (0 used / 1M)                             │ │  Limits:               data not available yet                              │ ╰────────────────────────────────────────────────────────────────────────────╯ ```  输入后变为了 258k： ``` /status  │  Token usage:          124K total  (111K input + 13K output)               │ │  Context window:       76% left (72.1K used 
2308,Bug: Docker 镜像未嵌入前端，导致根路径返回 404,OPEN,,2026-05-09T01:18:46Z,,"## 问题描述  访问 `https://sapi.bjhuiqu.net/` 时返回 `404 page not found`。  ## 问题分析  经过排查，发现官方 Docker 镜像 `weishaw/sub2api:latest` (版本 0.1.125) 没有正确嵌入前端文件。  ### 验证步骤  1. 检查二进制文件中是否有前端嵌入： ```bash docker run --rm ghcr.io/wei-shaw/sub2api:latest strings /app/sub2api | grep -E ""window\.__APP_CONFIG__|__CSP_NONCE_VALUE__"" ``` 结果显示有这些字符串，说明有部分前端代码被嵌入。  2. 检查 `dist/index.html` 是否存在： ```bash docker run --rm ghcr.io/wei-shaw/sub2api:latest strings /app/sub2api | grep ""dist/index.html"" ``` 结果显示没有 `dist/index.html` "
2307,请作者for win x86版本添加最小化缩略到托盘和右键菜单功能,OPEN,,2026-05-09T00:35:37Z,,请作者for win x86版本添加最小化缩略到托盘和右键菜单功能
2298,Bug: Upstream empty SSE data: frames cause OpenAI SDK JSONDecodeError when using Responses API (/v1/responses),OPEN,,2026-05-08T15:42:59Z,,https://github.com/router-for-me/CLIProxyAPI/issues/2460  这个错误在CLIProxyAPI中已经被修复，但是我是用sub2api，gpt-5.5会经常遇到这个错误，JSON parse error.   希望可以在下个版本包含类似的兼容修复，兼容上游不合法的sse帧。  具体请看[CLIProxyAPI#2460](https://github.com/router-for-me/CLIProxyAPI/issues/2460)，里面解释得很清楚。  当前最新版本 v0.1.125 依旧存在这个错误。
